COMUNIDAD;PROVINCIA;MUNICIPIO;SUP M2;FECHA APERTURA;TIENDA;TARIFA;ROL;Nivel de surtido;CV 2022;PROG;CV 2021;PROG;CV 2020
COMUNIDAD DE MADRID;MADRID;MADRID;367;28.09.16;PXM SAN BERNARDINO, 4;PLUS;URB.RESIDENCIAL;NACIONAL4;3’323’134.72 €;11%;2’951’175.07 €;-10%;3’234’250.42 €
COMUNIDAD DE MADRID;MADRID;MADRID;494;21.09.21;PXM CÁCERES, 23;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;2’752’472.46 €;72%;777’781.29 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;468;14.04.16;PXM HERMOSILLA Nº 28;XPLUS;URB.RESIDENCIAL;NACIONAL4;2’701’810.57 €;24%;2’041’424.95 €;-3%;2’102’457.32 €
COMUNIDAD DE MADRID;MADRID;MADRID;622;27.01.17;PXM CEA BERMUDEZ3, 53;PLUS;URB.RESIDENCIAL;NACIONAL4;2’682’340.01 €;-2%;2’743’937.27 €;-17%;3’204’493.03 €
ANDALUCÍA;CÁDIZ;CADIZ;522;03.09.21;PXCA GARCIA CARRERA, 24;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;2’349’355.57 €;68%;749’250.19 €;100%; -   € 
CASTILLA Y LEÓN;ZAMORA;GALENDE;639;31.10.13;PXZA EL PUENTE DE SANABRIA;ESTANDAR;RURAL;NACIONAL3;2’322’282.65 €;15%;1’977’795.22 €;-23%;2’442’435.36 €
COMUNIDAD DE MADRID;MADRID;MADRID;300;28.07.16;PXM SANTA ISABEL 28-30;PLUS;URB.RESIDENCIAL;NACIONAL4;2’269’515.97 €;15%;1’933’193.38 €;0%;1’924’585.23 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;393;25.05.21;PXMA REDING, 10;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;2’257’910.42 €;47%;1’197’687.86 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;104;15.04.15;PXM CALLE MONTERA;XPLUS;CONVENIENCIA;NACIONAL5;2’155’834.67 €;37%;1’359’287.30 €;28%;981’170.24 €
COMUNIDAD DE MADRID;MADRID;GALAPAGAR;415;26.05.21;PXM COLLADO VILLALBA - BATALLA BAILÉN 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;2’127’950.10 €;50%;1’067’082.90 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;253;10.06.21;PXM ILLESCAS, 197;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;2’071’369.03 €;51%;1’025’265.43 €;100%; -   € 
ANDALUCÍA;CÁDIZ;ALGECIRAS;449;06.08.21;PXCA ALGECIRAS ALFONSO XI, 19;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;2’028’324.47 €;65%;716’679.48 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;130;31.01.19;PXM CALLE VILLANUEVA, 24;XPLUS;URB.COMERCIAL;NACIONAL6;2’027’476.02 €;22%;1’584’293.10 €;15%;1’346’857.29 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;344;24.06.21;PXMA AVDA PIO BAROJA, 6;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;2’020’591.54 €;52%;970’594.72 €;100%; -   € 
