SUP M2;FECHA APERTURA;TIENDA;C. POSTAL;MUNICIPIO;PROVINCIA;COMUNIDAD;TARIFA;ROL;Nivel de surtido;CV 2022;CV 2021
367;28.09.16;PXM SAN BERNARDINO, 4;28015;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;3’323’134.72 €;2’951’175.07 €
494;21.09.21;PXM CÁCERES, 23;28045;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;2’752’472.46 €;777’781.29 €
468;14.04.16;PXM HERMOSILLA Nº 28;28001;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.RESIDENCIAL;NACIONAL4;2’701’810.57 €;2’041’424.95 €
622;27.01.17;PXM CEA BERMUDEZ3, 53;28003;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;2’682’340.01 €;2’743’937.27 €
522;03.09.21;PXCA GARCIA CARRERA, 24;11010;CADIZ;CADIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;2’349’355.57 €;749’250.19 €
639;31.10.13;PXZA EL PUENTE DE SANABRIA;49350;EL PUENTE DE SANABRIA;ZAMORA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL3;2’322’282.65 €;1’977’795.22 €
300;28.07.16;PXM SANTA ISABEL 28-30;28012;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;2’269’515.97 €;1’933’193.38 €
393;25.05.21;PXMA REDING, 10;29016;MÁLAGA;MÁLAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;2’257’910.42 €;1’197’687.86 €
104;15.04.15;PXM CALLE MONTERA;28013;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;CONVENIENCIA;NACIONAL5;2’155’834.67 €;1’359’287.30 €
415;26.05.21;PXM COLLADO VILLALBA - BATALLA BAILÉN 2;28400;COLLADO VILLALBA;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;2’127’950.10 €;1’067’082.90 €
253;10.06.21;PXM ILLESCAS, 197;28047;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;2’071’369.03 €;1’025’265.43 €
449;06.08.21;PXCA ALGECIRAS ALFONSO XI, 19;11201;ALGECIRAS;CADIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;2’028’324.47 €;716’679.48 €
130;31.01.19;PXM CALLE VILLANUEVA, 24;28001;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL6;2’027’476.02 €;1’584’293.10 €
344;24.06.21;PXMA AVDA PIO BAROJA, 6;29017;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;2’020’591.54 €;970’594.72 €
