ID;Municipios;Poblacion;Densidad Comercial;Renta Por Hogar
01001;Alegría-Dulantzi;2’930;119.7; 36’350 € 
01002;Amurrio;10’310;222.8; 36’000 € 
01003;Aramaio;1’460;61.8; 48’500 € 
01004;Artziniega;1’810;92.9; 33’100 € 
01006;Armiñón;230;0; 32’900 € 
01008;Arratzua-Ubarrundia;1’020;49.2; 49’500 € 
01009;Asparrena;1’630;153.8; 32’700 € 
01010;Ayala/Aiara;2’950;44.1; 39’250 € 
01011;Baños de Ebro/Mañueta;290;0; 24’650 € 
01013;Barrundia;900;0; 42’150 € 
01014;Berantevilla;470;0; 33’100 € 
01016;Bernedo;540;0; 32’800 € 
01017;Campezo/Kanpezu;1’080;186.9; 29’700 € 
01018;Zigoitia;1’800;5205.3; 47’250 € 
01019;Kripan;170;0; 29’950 € 
01020;Kuartango;400;0; 27’800 € 
01021;Elburgo/Burgelu;630;0; 46’350 € 
01022;Elciego;1’000;0; 32’400 € 
01023;Elvillar/Bilar;330;0; 25’950 € 
01027;Iruraiz-Gauna;530;0; 41’550 € 
01028;Labastida/Bastida;1’530;0; 28’500 € 
01030;Lagrán;170;0; 29’700 € 
01031;Laguardia;1’460;225.4; 29’300 € 
01032;Lanciego/Lantziego;690;115.6; 24’050 € 
01033;Lapuebla de Labarca;860;116.6; 25’700 € 
01034;Leza;220;0; 34’600 € 
01036;Laudio/Llodio;18’010;77.7; 33’650 € 
01037;Arraia-Maeztu;800;0; 34’950 € 
01039;Moreda de Álava/Moreda Araba;210;0; 29’900 € 
01041;Navaridas;200;0; 23’950 € 
01042;Okondo;1’200;0; 34’600 € 
01043;Oyón-Oion;3’420;90.7; 28’050 € 
01044;Peñacerrada-Urizaharra;300;0; 35’800 € 
01046;Erriberagoitia/Ribera Alta;830;0; 37’050 € 
01047;Ribera Baja/Erribera Beitia;1’420;0; 36’600 € 
01049;Añana;150;0; 31’450 € 
01051;Salvatierra/Agurain;5’030;429.1; 32’800 € 
01052;Samaniego;310;0; 28’000 € 
01053;San Millán/Donemiliaga;720;69.7; 40’150 € 
01054;Urkabustaiz;1’410;63.6; 35’200 € 
01055;Valdegovía/Gaubea;1’050;126.8; 30’350 € 
01056;Harana/Valle de Arana;230;0; 27’100 € 
01057;Villabuena de Álava/Eskuernaga;290;0; 27’600 € 
01058;Legutio;1’990;50.2; 39’500 € 
01059;Vitoria-Gasteiz;253’090;285.5; 35’100 € 
01060;Yécora/Iekora;270;0; 29’700 € 
01061;Zalduondo;190;0; 38’250 € 
01062;Zambrana;430;0; 31’200 € 
01063;Zuia;2’320;51.8; 46’750 € 
01901;Iruña Oka/Iruña de Oca;3’470;30; 37’700 € 
01902;Lantarón;920;0; 33’850 € 
02001;Abengibre;750;0; 28’250 € 
02002;Alatoz;500;0; 21’200 € 
02003;Albacete;172’720;386.6; 33’250 € 
02004;Albatana;680;124.8; 20’950 € 
02005;Alborea;670;0; 20’950 € 
02006;Alcadozo;630;0; 20’300 € 
02007;Alcalá del Júcar;1’150;104.1; 20’000 € 
02008;Alcaraz;1’310;206.1; 23’500 € 
02009;Almansa;24’390;300.8; 27’500 € 
02010;Alpera;2’290;209.6; 22’900 € 
02011;Ayna;580;137.2; 21’800 € 
02012;Balazote;2’360;212.4; 27’250 € 
02013;Balsa de Ves;130;0; 22’850 € 
02014;Ballestero, El;410;639.2; 24’000 € 
02015;Barrax;1’810;343.5; 24’650 € 
02016;Bienservida;600;100.8; 19’050 € 
02017;Bogarra;770;260.4; 17’550 € 
02018;Bonete;1’030;48.5; 25’150 € 
02019;Bonillo, El;2’720;551.9; 24’850 € 
02020;Carcelén;500;0; 20’750 € 
02021;Casas de Juan Núñez;1’360;329.9; 23’100 € 
02022;Casas de Lázaro;330;0; 23’850 € 
02023;Casas de Ves;560;0; 21’650 € 
02024;Casas-Ibáñez;4’540;841.9; 24’750 € 
02025;Caudete;10’080;184.5; 24’850 € 
02026;Cenizate;1’190;345.7; 22’700 € 
02027;Corral-Rubio;310;0; 24’800 € 
02028;Cotillas;130;0; 18’300 € 
02029;Chinchilla de Monte-Aragón;4’340;112.1; 27’000 € 
02030;Elche de la Sierra;3’560;435.8; 23’050 € 
02031;Férez;630;191.1; 20’650 € 
02032;Fuensanta;280;0; 20’100 € 
02033;Fuente-Álamo;2’450;183.9; 22’450 € 
02034;Fuentealbilla;1’840;305; 24’450 € 
02035;Gineta, La;2’550;141; 26’800 € 
02036;Golosalvo;100;0; 23’500 € 
02037;Hellín;30’430;239.8; 24’700 € 
02038;Herrera, La;310;0; 24’550 € 
02039;Higueruela;1’140;324.3; 26’500 € 
02040;Hoya-Gonzalo;600;0; 31’900 € 
02041;Jorquera;360;0; 17’700 € 
02042;Letur;910;165; 22’050 € 
02043;Lezuza;1’320;0; 23’100 € 
02044;Liétor;1’120;75.8; 21’200 € 
02045;Madrigueras;4’650;253.5; 27’150 € 
02046;Mahora;1’380;155.8; 24’000 € 
02047;Masegoso;100;0; 29’300 € 
02048;Minaya;1’480;0; 22’950 € 
02049;Molinicos;830;0; 19’500 € 
02050;Montalvos;90;0; 23’500 € 
02051;Montealegre del Castillo;2’040;406.8; 23’900 € 
02052;Motilleja;600;238; 23’350 € 
02053;Munera;3’430;244.7; 23’200 € 
02054;Navas de Jorquera;540;242.5; 24’750 € 
02055;Nerpio;1’200;167.1; 21’050 € 
02056;Ontur;1’960;303.1; 21’800 € 
02057;Ossa de Montiel;2’240;185.2; 22’500 € 
02058;Paterna del Madera;320;0; 18’250 € 
02059;Peñascosa;320;0; 22’550 € 
02060;Peñas de San Pedro;1’410;212.1; 23’450 € 
02061;Pétrola;680;0; 23’150 € 
02062;Povedilla;400;199.5; 20’550 € 
02063;Pozohondo;1’580;75.8; 21’850 € 
02064;Pozo-Lorente;390;0; 25’250 € 
02065;Pozuelo;470;0; 24’200 € 
02066;Recueja, La;220;0; 21’600 € 
02067;Riópar;1’330;262.4; 21’450 € 
02068;Robledo;390;0; 23’900 € 
02069;Roda, La;15’400;401.6; 27’550 € 
02070;Salobre;460;390.5; 20’150 € 
02071;San Pedro;1’150;0; 26’100 € 
02072;Socovos;1’750;329.1; 19’700 € 
02073;Tarazona de la Mancha;6’180;349.3; 22’200 € 
02074;Tobarra;7’690;156.4; 23’200 € 
02075;Valdeganga;1’950;462.2; 26’050 € 
02076;Vianos;330;0; 21’300 € 
02077;Villa de Ves;60;0; 23’500 € 
02078;Villalgordo del Júcar;1’080;92.5; 22’250 € 
02079;Villamalea;4’040;192.6; 24’250 € 
02080;Villapalacios;560;125.9; 24’850 € 
02081;Villarrobledo;24’980;402.8; 27’550 € 
02082;Villatoya;110;0; 19’200 € 
02083;Villavaliente;210;0; 21’200 € 
02084;Villaverde de Guadalimar;330;375.4; 16’650 € 
02085;Viveros;330;213.4; 23’450 € 
02086;Yeste;2’570;77.9; 19’600 € 
02901;Pozo Cañada;2’800;161.2; 25’850 € 
03001;Adsubia;610;0; 24’000 € 
03002;Agost;4’910;496.7; 25’650 € 
03003;Agres;580;0; 26’650 € 
03004;Aigües;1’050;114.4; 26’700 € 
03005;Albatera;12’710;309.7; 24’700 € 
03006;Alcalalí;1’340;74.9; 21’850 € 
03007;Alcocer de Planes;240;0; 33’050 € 
03008;Alcoleja;180;0; 24’250 € 
03009;Alcoy/Alcoi;59’130;388.4; 27’500 € 
03010;Alfafara;410;0; 27’850 € 
03011;Alfàs del Pi, l';20’490;631.2; 24’400 € 
03012;Algorfa;3’400;0; 19’100 € 
03013;Algueña;1’330;337.3; 23’400 € 
03014;Alicante/Alacant;337’300;315.9; 29’550 € 
03015;Almoradí;21’400;342.4; 24’100 € 
03016;Almudaina;120;0; 26’700 € 
03017;Alqueria d'Asnar, l';500;0; 27’250 € 
03018;Altea;22’650;239.5; 26’700 € 
03019;Aspe;21’090;381.6; 24’950 € 
03020;Balones;130;0; 24’400 € 
03021;Banyeres de Mariola;7’110;213.4; 28’800 € 
03022;Benasau;170;0; 34’150 € 
03023;Beneixama;1’710;441.7; 28’950 € 
03024;Benejúzar;5’450;563.2; 25’650 € 
03025;Benferri;1’960;0; 25’450 € 
03026;Beniarbeig;2’230;0; 25’150 € 
03027;Beniardá;190;0; 24’300 € 
03028;Beniarrés;1’080;230.8; 23’300 € 
03029;Benigembla;480;0; 21’600 € 
03030;Benidoleig;1’170;128.7; 23’250 € 
03031;Benidorm;69’120;360.3; 22’650 € 
03032;Benifallim;100;0; 33’650 € 
03033;Benifato;130;0; 26’600 € 
03034;Benijófar;3’320;488.8; 21’500 € 
03035;Benilloba;740;0; 26’000 € 
03036;Benillup;100;0; 34’250 € 
03037;Benimantell;500;139.7; 21’700 € 
03038;Benimarfull;400;0; 49’700 € 
03039;Benimassot;100;0; 25’250 € 
03040;Benimeli;420;0; 26’450 € 
03041;Benissa;11’460;653.2; 23’900 € 
03042;Benitachell/Poble Nou de Benitatxell, el;4’450;800.7; 21’800 € 
03043;Biar;3’630;299.3; 30’450 € 
03044;Bigastro;6’990;258.9; 27’100 € 
03045;Bolulla;430;230; 20’400 € 
03046;Busot;3’210;43.7; 25’100 € 
03047;Calp;23’530;372.1; 22’650 € 
03048;Callosa d'en Sarrià;7’590;390.8; 24’200 € 
03049;Callosa de Segura;19’270;340.8; 26’150 € 
03050;Campello, el;28’970;304.1; 28’650 € 
03051;Campo de Mirra/Camp de Mirra, el;430;0; 24’300 € 
03052;Cañada;1’190;0; 28’150 € 
03053;Castalla;10’750;497.3; 25’950 € 
03054;Castell de Castells;430;0; 22’600 € 
03055;Catral;8’880;464; 22’700 € 
03056;Cocentaina;11’450;818.2; 27’150 € 
03057;Confrides;270;0; 19’200 € 
03058;Cox;7’470;274.4; 26’350 € 
03059;Crevillent;29’720;301.2; 24’450 € 
03060;Quatretondeta;120;0; 18’850 € 
03061;Daya Nueva;1’760;85.4; 22’200 € 
03062;Daya Vieja;710;0; 19’200 € 
03063;Dénia;42’950;578.6; 26’600 € 
03064;Dolores;7’620;293.8; 22’650 € 
03065;Elche/Elx;234’210;302.4; 26’650 € 
03066;Elda;52’560;232.6; 23’450 € 
03067;Facheca;110;0; 30’300 € 
03068;Famorca;40;0; 25’250 € 
03069;Finestrat;7’400;2455.4; 24’300 € 
03070;Formentera del Segura;4’340;304.8; 20’000 € 
03071;Gata de Gorgos;6’220;64.3; 26’350 € 
03072;Gaianes;510;0; 26’100 € 
03073;Gorga;260;0; 29’550 € 
03074;Granja de Rocamora;2’570;0; 26’000 € 
03075;Castell de Guadalest, el;240;0; 23’500 € 
03076;Guardamar del Segura;15’980;220.9; 23’750 € 
03077;Fondó de les Neus, el/Hondón de las Nieves;2’630;180; 21’700 € 
